,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3
308,309,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,60,10,2.773
309,310,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,80,10,1.609
310,311,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,80,10,1.792
311,312,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,80,10,1.946
312,313,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,20,10,1.099
313,314,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,20,10,0.693
314,315,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,20,10,1.386
315,316,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,40,10,1.386
316,317,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,40,10,0.693
317,318,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,40,10,1.386
318,319,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,60,10,1.386
319,320,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,60,10,2.079
320,321,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,60,10,2.303
321,322,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,80,10,1.099
322,323,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,80,10,1.099
323,324,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,80,10,1.792
324,325,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,20,10,1.386
325,326,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,20,10,1.792
326,327,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,20,10,1.099
327,328,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,40,10,1.609
328,329,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,40,10,1.099
329,330,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,40,10,2.485
