LGBM,XGB,RF,MLP,DT,kNN,PLS,MLR,lasso
0.0585955863721338,0.06709742882320113,0.07572943825551104,0.0668168049684239,0.08106186300071094,0.020678811233528438,0.18162905710811517,0.17965666239368283,0.21919372910497703
0.03913551473168536,0.03471556750200572,0.0596867346132573,0.07171036071829334,0.05107845461009719,0.18335534305033402,0.07572308192779581,0.07825917037358726,0.13172109025798773
0.05948549445524465,0.015347174500141947,0.02994232440546779,0.06573067122148896,0.09516473097890488,0.04450420710953418,0.014033104844322242,0.018714315411578364,0.015655402933145213
0.12446698515475219,0.12147975087335366,0.11743718890732407,0.11281781162560706,0.10559374259303156,0.1244454489587708,0.13001579405388336,0.12924187137146453,0.13022521078216676
0.010342558549893521,0.03340848655207912,0.009714387295567284,0.028372892504021474,0.053330173026783556,0.037557342289852524,0.057672667273182154,0.05740373682509059,0.012882649068944596
0.018705607750990578,0.09361293911933899,0.04041637038792763,0.15395592537531622,0.009317966342735243,0.24308651379223026,0.446937391550772,0.44231103624686113,0.48589055690659655
0.04512032580141245,0.0016380380922992877,0.04048727976613736,0.04315956491365064,0.17705617444892147,0.0737464354070006,0.2177099845309602,0.22064542051441383,0.2124865319586246
0.009282529512844584,0.0361589915126837,0.020296871296516028,0.011885268985572572,0.03555344868452237,0.11555657145743203,0.01994190140285551,0.018610748535117738,0.020505770914107213
0.026223062961805932,0.041242845845635034,0.024632614363593486,0.0004659822502717792,0.07762502962787388,0.07155628110091061,0.057876889624351335,0.05637896088337707,0.030724984804246458
0.08437878421949643,0.09918557198218864,0.08073911669431891,0.10317088744508335,0.1162597771983882,0.09058018086102756,0.05409465863913604,0.05085996711959301,0.04944006459374961
0.10859999624924244,0.12971934596348994,0.07648554159753485,0.1094362877809214,0.25100734771272804,0.0828430267220332,0.1524390573987801,0.15438955387038705,0.1470451666667995
0.10069382483063033,0.08966447651372128,0.10683850833530867,0.05299222902539469,0.07430670775065173,0.0900024461109003,0.05103403706311588,0.05266669409162478,0.05363481618949034
0.048346485790942084,0.053724480045437895,0.05625878960259134,0.009714527369638848,0.0289168049300782,0.03560903798001597,0.09564800623747166,0.09718088234057537,0.09598281820731247
0.01596010789904151,0.013506493888553461,0.02500908588133066,0.02294393065548822,0.06518132258829096,0.08956484409493692,0.04345264033395696,0.03965072139921383,0.08022817341967392
0.03703387990664764,0.01048104235079933,0.007029114324089383,0.0399882273214307,0.07086987437781461,0.03686066651375933,0.3066940991791537,0.3066636413918222,0.29627826232892546
0.07079684610880466,0.19332822409250294,0.08801117958441962,0.0034998417051814723,0.010310500118511534,0.30093669156994846,0.1413784455812847,0.14312278280660207,0.14060648081483207
0.0262166029038911,0.027150801189365636,0.02550999446946347,0.06765298462486759,0.0,0.28401680123856493,0.08841826328843255,0.0891901952417474,0.09937974989138004
0.013517968364660807,0.003137183870345839,0.010076242395512441,0.012552501973031871,0.026428063522161593,0.02828117941834951,0.03064660912908221,0.02913387559344008,0.02118150443076744
0.003730887886566836,0.008548873603612395,0.02842853756814373,0.046287477319221504,0.001422137947380886,0.1328409865839832,0.0530931400189138,0.05197931601503575,0.09057695991009845
0.10892222800471113,0.07053395983561933,0.13910089278660043,0.07280373844078869,0.3499644465513154,0.0954230988540471,0.007875613947375903,0.00905683561952525,0.008611228494125989
0.128889262206626,0.17172486441879653,0.16819526744094104,0.1651873163354628,0.053448684522398704,0.060415645830953935,0.03612080355894409,0.03657089534505775,0.040290007191392196
0.002708809135387902,0.005609802186531565,0.010980090068736625,0.06945836609098571,0.004029390850912473,0.022625990422896702,0.005405248739567825,0.009135218993652272,0.015167574085140245
0.03297806575336287,0.01622522232599749,0.041916923441573384,0.06833355754620879,0.05807063285138658,0.03872730563330584,0.11172882558986219,0.11375936666306213,0.06858926643617175
0.06644031509523815,0.06295147165920978,0.09155605593742588,0.024010482006770417,0.053211661531168575,0.0202126092636756,0.23637765514945114,0.23791900001592814,0.2323833505293616
0.11641113155967875,0.06765624586935143,0.0963559690289956,0.03928266463674718,0.236548945247689,0.06078213583019465,0.0901158265107097,0.09484260197997207,0.05319138046111732
0.051947984604145125,0.027362636676131924,0.02250553053646162,0.07578171495679825,0.11803744963261437,0.02499272196327071,0.06240608100359257,0.06427398783682756,0.06128230912249133
0.12006403860395798,0.2187674360892362,0.18060598878091194,0.359502606398562,0.025124437070395578,0.401826165636183,0.41179671581305055,0.40844606891475754,0.4478823877785464
0.008900384987438947,0.003833648589980143,0.03732499802480882,0.05843178057288778,0.04693055226356946,0.24418260399099423,0.3095955504937413,0.3081090987856824,0.356946863086677
0.12492242757693495,0.10876461705994228,0.10210101129809604,0.10605655446760592,0.15287982934344635,0.012136705303655848,0.06425947307599117,0.06504173775723865,0.06305249825012843
0.023845806965456413,0.008818626403808594,0.020071106897368997,0.02164180122137023,0.0029183455795212115,0.10125697888922579,0.01134793618507507,0.01678549600843232,0.017713974761484896
0.13706052079102274,0.18894107538423544,0.1453928656079639,0.0898895939569565,0.18333728371652053,0.19929912768938482,0.35110459462463006,0.3541159949068593,0.35484104094713165
0.040150994585089805,0.0011060114549951705,0.01069526744094218,0.03967166616688084,0.0026072529035316983,0.05218151029584672,0.12425259107487802,0.13242700501059784,0.14005836022252616
0.08233094432293989,0.10695904493331909,0.10980366595559765,0.14679994010581482,0.2647546812040768,0.1655986721690483,0.06940469031476981,0.0711049224469788,0.12571453198467142
0.03511602055211327,0.07354332748593007,0.09539306312712315,0.17561513199588252,0.04076795449158577,0.2183156271055085,0.17995911389057823,0.18190542782201896,0.17009892392087672
0.15547245001072513,0.1508819174783494,0.1649128940507224,0.22376574871383287,0.3248400094809196,0.02999668892561333,0.1851998444366626,0.18490383622490697,0.18124951195260652
0.20773200403386793,0.24507522583007812,0.1908779726633485,0.46642020715660837,0.0411234889784311,0.6295416171511183,0.41454002950897273,0.410304701899037,0.45545549468254376
0.05002033695235709,0.06559789180755615,0.17978865449948644,0.11128153690729749,0.02873903768665559,0.17855425331392993,0.23432345311982267,0.23239378997779417,0.1903009651293235
0.053369928257120614,0.04439820637067765,0.047765465750177746,0.04586689776983148,0.06387769613652527,0.2288052960750176,0.016234043797368036,0.020605295863092177,0.07106693428611621
0.03315107550373719,0.054233748925808456,0.013146480208579892,0.16430836663247084,0.10666034605356689,0.532740122761503,0.25592222366456374,0.260087329003315,0.3067354943169822
0.02472529220850237,0.06205117702484131,0.06453938532037609,0.005103481598760465,0.009317966342735243,0.18234191557976656,0.4520273531135584,0.45198361362889583,0.48375832928370965
0.03574386388379247,0.042942297178920785,0.04964525558979227,0.08228522458365717,0.026902109504622018,0.06249305043259429,0.0051020514712760145,0.0038155402539445382,0.005377450154031738
0.008639251145931608,0.012749028992782852,0.0021075294303547314,0.028975107024000593,0.020225961918306057,0.01956419668764662,0.10642413038942419,0.10275676091152092,0.11286281332597953
0.1340040065010672,0.16124995321593433,0.15418365331437167,0.1378186240728861,0.06921071343920371,0.16326512728650439,0.2759781442180017,0.2761209909890249,0.26994859225065415
0.1199342861424775,0.17768988013267517,0.1298816860235443,0.21257233810010573,0.009317966342735243,0.21991698731675038,0.41245394491078136,0.4038709458757994,0.4092517094642828
0.021536274697239177,0.07735400700433526,0.07506616891838497,0.019008255681928654,0.2414079165679071,0.06431074198728909,0.14328163578418263,0.14301063026495797,0.1807248918490545
0.04381540225773703,0.0014504855434655517,0.014624318558900118,0.028804829261881493,0.2383858734297227,0.1414628145978098,0.07736100904415683,0.07244027862131786,0.05746286125537292
0.00717724756385385,0.01119571842975492,0.009403887177055814,0.05335795476785521,0.02761317847831235,0.1488786388428342,0.054279950593396464,0.05109940869110319,0.038443021819355716
0.06988035365195577,0.07572917827047648,0.014232638065891035,0.03712272413612444,0.06494429959706094,0.06630205693999919,0.028475303410252895,0.03238690978666786,0.041408386322459745
0.0008435443606422677,0.13882076313609232,0.0180992731294935,0.09227565796195697,0.049300782175871194,0.18242189147962334,0.12486216604034855,0.1252613032223699,0.10611615470883878
0.028797763928965436,0.013197620436602275,0.022508690843011714,0.03198441617350478,0.001422137947380997,0.017123822915910525,0.03781378474588287,0.03776963072462164,0.037270838718776955
0.21569287290896388,0.3029734188274457,0.2831899344236386,0.1919108175953123,0.30445603223512674,0.1752905278867743,0.1476755246947069,0.14887807527269042,0.1884711341535849
0.030240051443770843,0.011359488011875751,0.04500651813225892,0.03899458179363298,0.08983171367622655,0.1558593656237293,0.10796651925284412,0.11253053405811442,0.08373349847254996
0.08940254329715847,0.0929588038482268,0.05800505649047999,0.06892082194460614,0.038753259066129364,0.01779071062137616,0.09436177142592539,0.09769078532447001,0.05727002556202743
0.10949442221138761,0.0858620326506015,0.09886762265939814,0.08566223237145854,0.08331358141739742,0.07321402423410575,0.03456703913957632,0.028655684913133528,0.03862627881772551
0.10914137852877814,0.08794407870397092,0.11657975823654898,0.03039136315616242,0.022280161175633972,0.11064140262012462,0.1946823121857466,0.19129727988497597,0.14461628328016168
