Formula label,Helper_lipid,NP_ratio,Dlin-MC3:Helper lipid,Dlin-MC3+Helper lipid percentage,Chol:DMG-PEG
886,14PA,4,10,80,10
887,14PA,8,10,80,10
888,14PA,12,10,80,10
889,14PA,4,1,20,10
890,14PA,8,1,20,10
891,14PA,12,1,20,10
892,14PA,4,1,40,10
893,14PA,8,1,40,10
894,14PA,12,1,40,10
895,14PA,4,1,60,10
896,14PA,8,1,60,10
897,14PA,12,1,60,10
898,14PA,4,1,80,10
899,14PA,8,1,80,10
900,14PA,12,1,80,10
901,DDAB,4,200,20,500
902,DDAB,8,200,20,500
903,DDAB,12,200,20,500
904,DDAB,4,200,40,500
905,DDAB,8,200,40,500
906,DDAB,12,200,40,500
907,DDAB,4,200,60,500
908,DDAB,8,200,60,500
909,DDAB,12,200,60,500
910,DDAB,4,200,80,500
911,DDAB,8,200,80,500
912,DDAB,12,200,80,500
913,DDAB,4,100,20,500
914,DDAB,8,100,20,500
915,DDAB,12,100,20,500
916,DDAB,4,100,40,500
917,DDAB,8,100,40,500
918,DDAB,12,100,40,500
919,DDAB,4,100,60,500
920,DDAB,8,100,60,500
921,DDAB,12,100,60,500
922,DDAB,4,100,80,500
923,DDAB,8,100,80,500
924,DDAB,12,100,80,500
925,DDAB,4,50,20,500
926,DDAB,8,50,20,500
927,DDAB,12,50,20,500
928,DDAB,4,50,40,500
929,DDAB,8,50,40,500
930,DDAB,12,50,40,500
931,DDAB,4,50,60,500
