Formula label,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Helper_MW,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,wt_Helper,wt_Dlin,wt_Chol,wt_DMG,wt_pDNA,Size,Zeta,RLU_HepG2,RLU_N2a,RLU_ARPE19,RLU_HEK293,RLU_B16,RLU_PC3
49,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,1,20,500,17.18557707,13.81032648,66.39491083,0.86168282,1.747502805,#N/A,#N/A,1.253,1.946,0.693,4.543,1.099,1.099
50,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,1,20,500,17.33705987,13.93205803,66.98015084,0.869278151,0.881453112,#N/A,#N/A,1.099,1.099,1.099,4.094,1.253,1.099
51,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,1,20,500,17.38814933,13.97311351,67.17753031,0.87183977,0.589367073,#N/A,#N/A,1.504,1.792,2.079,3.367,1.253,1.386
52,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,1,40,500,29.64838622,23.82543755,42.95393933,0.557462479,3.014774418,#N/A,#N/A,2.862,1.946,1.609,6.029,1.253,1.386
53,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,1,40,500,30.10214206,24.19007566,43.61133095,0.565994203,1.530457124,#N/A,#N/A,0.916,1.609,1.386,4.6,0.916,1.504
54,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,1,40,500,30.25649629,24.31411469,43.83495602,0.568896442,1.025536548,#N/A,#N/A,1.386,3.258,1.099,2.639,1.253,1.253
55,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,1,60,500,39.10003905,31.42078398,25.17657293,0.326745229,3.975858807,#N/A,#N/A,0.916,1.792,1.609,3.367,1.504,0.405
56,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,1,60,500,39.89308543,32.0580759,25.68721666,0.333372438,2.028249573,#N/A,#N/A,1.099,2.197,1.386,3.85,1.253,1.253
57,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,1,60,500,40.16463175,32.27629047,25.86206574,0.335641655,1.361370378,#N/A,#N/A,1.253,1.386,1.099,3.861,1.253,0.916
58,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,1,80,500,46.51420513,37.37880644,11.23146203,0.14576355,4.729762849,#N/A,#N/A,1.386,1.609,1.386,3.97,1.253,0.693
59,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,1,80,500,47.64085485,38.28418195,11.50350632,0.14929418,2.4221627,#N/A,#N/A,0,0.693,1.386,4.06,1.099,1.253
60,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,1,80,500,48.02863206,38.59579963,11.59714019,0.150509374,1.627918747,#N/A,#N/A,1.099,1.386,1.609,4.234,1.253,1.504
61,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,200,20,100,0.168847699,27.13719583,65.039655,4.220470565,3.433830903,#N/A,#N/A,2.14,5.677,5.242,9.118,3.178,0.916
62,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,200,20,100,0.171797314,27.61125778,66.1758382,4.29419832,1.746908392,#N/A,#N/A,1.609,5.17,5.1,7.03,2.862,1.099
63,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,200,20,100,0.172803554,27.77298062,66.56343896,4.319350016,1.171426846,#N/A,#N/A,2.303,3.951,3.761,8.172,1.705,0.916
64,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,200,40,100,0.297726132,47.85053274,43.00622328,2.790705139,6.054812704,#N/A,#N/A,3.091,5.308,4.86,8.92,2.303,1.253
