Formula label,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3:Helper lipid,Dlin-MC3+Helper lipid percentage,Chol:DMG-PEG,RLU_HepG2,RLU_N2a,RLU_ARPE19,RLU_HEK293,RLU_B16,RLU_PC3
145,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,50,20,10,1.253,2.079,1.792,4.241,1.504,1.099
146,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,50,20,10,0.916,2.079,1.792,4.454,1.253,0.916
147,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,50,20,10,1.386,1.609,1.792,4.714,0.693,1.099
148,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,50,40,10,1.386,1.946,2.197,6.707,1.099,1.253
149,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,50,40,10,1.386,2.996,1.386,6.335,1.504,1.253
150,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,50,40,10,1.386,1.792,1.609,6.452,1.099,1.253
151,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,50,60,10,1.099,2.639,1.946,5.034,1.099,1.253
152,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,50,60,10,2.398,3.932,1.609,8.742,1.386,1.609
153,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,50,60,10,2.303,2.773,1.792,8.485,1.609,0.916
154,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,50,80,10,1.504,3.664,1.099,6.387,1.099,0.693
155,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,50,80,10,2.015,4.143,1.609,7.715,1.609,1.099
156,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,50,80,10,2.251,4.543,3.258,8.171,0.693,1.609
157,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,10,20,10,1.705,2.485,1.609,3.701,1.099,1.504
158,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,10,20,10,1.792,2.197,1.792,3.871,0.916,1.386
159,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,10,20,10,1.386,1.946,1.946,5.617,0.916,0.916
160,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,10,40,10,1.253,2.565,1.792,4.736,0.693,1.386
161,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,10,40,10,0.916,3.045,1.792,6.261,1.099,1.504
162,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,10,40,10,1.504,2.485,2.079,6.118,1.504,0.916
163,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,10,60,10,1.386,4.043,1.609,5.781,1.253,1.386
164,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,10,60,10,2.398,4.043,2.485,8.810,0.916,0.693
165,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,10,60,10,1.792,2.89,2.197,7.845,1.609,1.386
166,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,10,80,10,1.792,4.997,2.079,8.000,1.386,1.099
167,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,10,80,10,1.946,4.913,3.434,9.616,1.253,1.872
168,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,10,80,10,2.303,4.111,3.526,9.782,1.099,1.609
169,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,1,20,10,1.253,3.555,2.565,2.442,0.693,1.504
170,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,1,20,10,1.099,4.942,3.97,4.902,1.099,1.609
171,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,1,20,10,1.386,3.367,2.708,2.079,1.099,1.504
172,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,1,40,10,1.609,1.386,1.609,3.676,0.916,0.405
173,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,1,40,10,1.386,1.946,1.099,5.460,1.253,2.197
174,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,1,40,10,1.099,1.946,1.099,6.318,1.386,0.916
175,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,1,60,10,1.253,1.386,1.946,6.304,1.386,1.386
176,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,1,60,10,1.872,1.609,1.099,7.738,0.405,1.504
177,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,1,60,10,1.099,1.386,1.609,4.771,1.253,1.253
178,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,1,80,10,1.609,1.386,1.609,3.418,1.386,1.099
179,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,1,80,10,1.253,1.099,1.099,6.364,1.253,1.253
180,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,1,80,10,1.504,1.099,1.386,3.951,0.916,1.504
181,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,4,200,20,500,2.485,6.284,5.568,6.382,2.485,2.079
182,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,8,200,20,500,1.792,6.05,6.561,7.404,2.526,1.792
183,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,12,200,20,500,1.609,5.537,6.384,9.651,3.773,2.890
184,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,4,200,40,500,1.099,5.442,4.977,2.442,1.705,1.609
185,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,8,200,40,500,1.253,5.147,6.205,6.968,2.303,2.079
186,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,12,200,40,500,1.386,4.369,6.83,8.020,2.603,1.386
187,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,4,200,60,500,1.099,5.7,5.429,3.829,1.792,1.386
188,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,8,200,60,500,1.386,4.682,3.258,6.341,1.504,3.784
189,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,12,200,60,500,1.504,4.533,5.153,10.645,2.970,1.386
190,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,4,200,80,500,1.253,3.258,1.609,3.314,1.705,0.693
191,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,8,200,80,500,0.916,2.197,1.792,5.816,1.609,1.609
192,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,12,200,80,500,1.253,2.639,2.398,5.981,1.609,1.386
193,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,4,100,20,500,1.253,6.619,6.5,8.361,2.015,3.584
194,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,8,100,20,500,2.398,6.066,6.692,8.831,2.197,5.050
