,RLU_HepG2
183,0.012024778331106531
184,0.030729989068383326
185,0.046884489250576936
186,0.012024778331106531
187,0.046884489250576936
188,0.061217053321996825
189,0.030729989068383326
190,0.0
191,0.030729989068383326
192,0.030729989068383326
193,0.16980444552411028
194,0.07397060609741284
195,0.012024778331106531
196,0.0
197,0.012024778331106531
198,0.0
199,0.012024778331106531
200,0.030729989068383326
201,0.0
202,0.0
203,0.0
204,0.16980444552411028
205,0.1640957123770193
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.030729989068383326
213,0.0
214,0.0
215,0.40774930159115746
216,0.2114660512571359
217,0.046884489250576936
218,0.030729989068383326
219,0.030729989068383326
220,0.012024778331106531
221,0.0
222,0.0
223,0.0
224,0.07397060609741284
225,0.061217053321996825
226,0.030729989068383326
227,0.3524839062310215
228,0.3250334021620308
229,0.22616300255071053
230,0.1453905016397425
231,0.030729989068383326
232,0.3138588606826187
233,0.29163124013117936
234,0.38552168103971823
235,0.3836997449289444
236,0.5838697922992834
237,0.6342766913640229
238,0.6933074213530912
239,0.6588120976557755
240,0.030729989068383326
241,0.030729989068383326
242,0.0
243,0.012024778331106531
244,0.0
245,0.061217053321996825
246,0.0
247,0.0
248,0.09619822664885218
249,0.0
250,0.0
251,0.5133001336086481
252,0.030729989068383326
253,0.012024778331106531
254,0.030729989068383326
255,0.0
256,0.046884489250576936
257,0.012024778331106531
258,0.0
259,0.012024778331106531
260,0.061217053321996825
261,0.0
262,0.0
263,0.363051135673509
264,0.012024778331106531
265,0.0
266,0.046884489250576936
267,0.12328434349568808
268,0.07397060609741284
269,0.4013117939997571
270,0.16980444552411028
271,0.012024778331106531
272,0.10591521923964532
273,0.10591521923964532
274,0.11490343738612897
275,0.42305356492165663
276,0.1453905016397425
277,0.13105793756832262
278,0.15194947163852784
279,0.11490343738612897
280,0.10591521923964532
281,0.24535406291752698
282,0.09619822664885218
283,0.08563099720636462
284,0.408478076035467
285,0.22956394995748813
286,0.3068140410542936
287,0.5883639013725253
288,0.5849629539657476
289,0.27887768735576335
290,0.40216203085145147
291,0.6108344467387343
292,0.65249605247176
293,0.6629418195068626
294,0.6080408113688813
295,0.6725373496902708
296,0.8060245354062917
297,0.8308028665128142
298,0.8786590550224705
299,0.8770800437264666
300,0.012024778331106531
301,0.0
302,0.0
303,0.0
304,0.0
305,0.046884489250576936
306,0.012024778331106531
307,0.0
308,0.046884489250576936
309,0.10591521923964532
310,0.012024778331106531
311,0.31543787197862255
312,0.0
313,0.0
314,0.0
315,0.046884489250576936
316,0.0
317,0.0
318,0.0
319,0.012024778331106531
320,0.061217053321996825
321,0.030729989068383326
322,0.046884489250576936
323,0.13105793756832262
324,0.030729989068383326
325,0.0
326,0.0
327,0.0
328,0.0
329,0.012024778331106531
330,0.0
331,0.030729989068383326
332,0.0
333,0.030729989068383326
334,0.046884489250576936
335,0.21899672051500058
336,0.0
337,0.0
338,0.0
339,0.012024778331106531
340,0.0
341,0.0
342,0.0
343,0.0
344,0.030729989068383326
345,0.046884489250576936
346,0.1990768857038746
347,0.486335479169197
348,0.0
349,0.030729989068383326
350,0.0
351,0.13846714441880237
352,0.16980444552411028
353,0.3827280456698651
354,0.3219968419774079
355,0.34871857160208913
356,0.38831531640957123
357,0.5565407506376776
358,0.5646787319324669
359,0.5965018826673144
360,0.30511356735090484
361,0.2033280699623466
362,0.32964897364265755
363,0.30511356735090484
364,0.12328434349568808
365,0.13846714441880237
366,0.061217053321996825
