Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),Lipid_NA_ratio,RLU_PC3
77,18PG,0,1,9.3028,3,10,36,1,170.9666667,0.641666667,-1.497333333,8,0.99009901,40,0.99009901,30.416208,2.0
78,18PG,0,1,9.3028,3,10,36,1,215.6333333,0.624,-4.113333333,12,0.99009901,40,0.99009901,45.624312,2.0
79,18PG,0,1,9.3028,3,10,36,1,182.2,0.565,-3.46,4,0.99009901,60,0.99009901,11.091564,2.0
80,18PG,0,1,9.3028,3,10,36,1,207.7333333,0.412333333,-5.52,8,0.99009901,60,0.99009901,22.183128,2.0
81,18PG,0,1,9.3028,3,10,36,1,348.7,0.722666667,-2.886666667,12,0.99009901,60,0.99009901,33.274692,2.0
82,18PG,0,1,9.3028,3,10,36,1,379.2666667,0.080666667,-2.153333333,4,0.99009901,80,0.99009901,9.033294,2.0
83,18PG,0,1,9.3028,3,10,36,1,430.7333333,0.114666667,-1.356666667,8,0.99009901,80,0.99009901,18.066588,2.0
84,18PG,0,1,9.3028,3,10,36,1,255.0166667,0.3485,0.867666667,12,0.99009901,80,0.99009901,27.099882,2.0
85,18PG,0,1,9.3028,3,10,36,1,738.2666667,0.887666667,-1.916666667,4,0.99009901,20,1.960784314,27.84661354,2.0
86,18PG,0,1,9.3028,3,10,36,1,190.2,0.453,-0.810333333,8,0.99009901,20,1.960784314,55.69322709,2.0
87,18PG,0,1,9.3028,3,10,36,1,210.8,0.686333333,-2.876666667,12,0.99009901,20,1.960784314,83.53984063,2.0
88,18PG,0,1,9.3028,3,10,36,1,263.4666667,0.627666667,-2.14,4,0.99009901,40,1.960784314,15.37472008,2.0
89,18PG,0,1,9.3028,3,10,36,1,162.0,0.536333333,-0.342,8,0.99009901,40,1.960784314,30.74944016,2.0
90,18PG,0,1,9.3028,3,10,36,1,203.3333333,0.343333333,-2.2,12,0.99009901,40,1.960784314,46.12416024,2.0
91,18PG,0,1,9.3028,3,10,36,1,194.0,0.484333333,-3.503333333,4,0.99009901,60,1.960784314,11.21742226,2.0
92,18PG,0,1,9.3028,3,10,36,1,235.7333333,0.341333333,-2.013333333,8,0.99009901,60,1.960784314,22.43484451,2.0
93,18PG,0,1,9.3028,3,10,36,1,183.1666667,0.295666667,-3.336666667,12,0.99009901,60,1.960784314,33.65226677,2.0
94,18PG,0,1,9.3028,3,10,36,1,264.4666667,0.139,-6.496666667,4,0.99009901,80,1.960784314,9.138773347,2.0
95,18PG,0,1,9.3028,3,10,36,1,410.2,0.146666667,0.9383,8,0.99009901,80,1.960784314,18.27754669,2.0
96,18PG,0,1,9.3028,3,10,36,1,363.8,0.148333333,0.4627,12,0.99009901,80,1.960784314,27.41632004,2.0
97,18PG,0,1,9.3028,3,10,36,1,457.7666667,0.88,-20.96666667,4,0.99009901,20,9.090909091,30.1577299,2.079
98,18PG,0,1,9.3028,3,10,36,1,170.4666667,0.436333333,-1.013333333,8,0.99009901,20,9.090909091,60.3154598,2.0
99,18PG,0,1,9.3028,3,10,36,1,205.1333333,0.81,-0.812553333,12,0.99009901,20,9.090909091,90.4731897,2.0
100,18PG,0,1,9.3028,3,10,36,1,153.8666667,0.343666667,-1.636666667,4,0.99009901,40,9.090909091,16.70764871,2.0
101,18PG,0,1,9.3028,3,10,36,1,202.0333333,0.364666667,-0.022666667,8,0.99009901,40,9.090909091,33.41529743,2.0
102,18PG,0,1,9.3028,3,10,36,1,192.2666667,0.267,-3.43,12,0.99009901,40,9.090909091,50.12294614,2.0
103,18PG,0,1,9.3028,3,10,36,1,176.8,0.353333333,-13.4,4,0.99009901,60,9.090909091,12.22428832,2.0
104,18PG,0,1,9.3028,3,10,36,1,293.4666667,0.390666667,-1.985333333,8,0.99009901,60,9.090909091,24.44857663,2.0
105,18PG,0,1,9.3028,3,10,36,1,281.8333333,0.217333333,-3.243333333,12,0.99009901,60,9.090909091,36.67286495,2.0
106,18PG,0,1,9.3028,3,10,36,1,496.8666667,0.153666667,-1.304,4,0.99009901,80,9.090909091,9.982608119,2.0
107,18PG,0,1,9.3028,3,10,36,1,526.7333333,0.369,-0.888,8,0.99009901,80,9.090909091,19.96521624,2.0
108,18PG,0,1,9.3028,3,10,36,1,501.1333333,0.277,-0.417666667,12,0.99009901,80,9.090909091,29.94782436,2.0
109,18PG,0,1,9.3028,3,10,36,1,237.7333333,0.221,-6.72,4,0.99009901,20,50.0,56.15778891,2.0
110,18PG,0,1,9.3028,3,10,36,1,154.0666667,0.200333333,-5.936666667,8,0.99009901,20,50.0,112.3155778,2.015
111,18PG,0,1,9.3028,3,10,36,1,185.1,0.109,-3.736666667,12,0.99009901,20,50.0,168.4733667,2.0
112,18PG,0,1,9.3028,3,10,36,1,196.1666667,0.203333333,-7.57,4,0.99009901,40,50.0,31.70309584,2.0
113,18PG,0,1,9.3028,3,10,36,1,298.0333333,0.1,-4.593333333,8,0.99009901,40,50.0,63.40619168,2.0
114,18PG,0,1,9.3028,3,10,36,1,189.2333333,0.111,-1.266666667,12,0.99009901,40,50.0,95.10928752,2.0
115,18PG,0,1,9.3028,3,10,36,1,241.5,0.106333333,-16.4,4,0.99009901,60,50.0,23.55153149,2.0
116,18PG,0,1,9.3028,3,10,36,1,249.8,0.209,-1.483333333,8,0.99009901,60,50.0,47.10306297,2.0
117,18PG,0,1,9.3028,3,10,36,1,346.5,0.061666667,-0.622,12,0.99009901,60,50.0,70.65459446,2.0
118,18PG,0,1,9.3028,3,10,36,1,364.1333333,0.201,-8.473333333,4,0.99009901,80,50.0,19.47574931,2.0
119,18PG,0,1,9.3028,3,10,36,1,812.3666667,0.132666667,-5.833333333,8,0.99009901,80,50.0,38.95149861,2.0
120,18PG,0,1,9.3028,3,10,36,1,409.6,0.290333333,-6.46,12,0.99009901,80,50.0,58.42724792,2.0
121,18PG,0,1,9.3028,3,10,36,1,113.3,0.238333333,-1.485333333,4,9.090909091,20,0.497512438,35.67187778,2.0
122,18PG,0,1,9.3028,3,10,36,1,179.0666667,0.428333333,-0.415666667,8,9.090909091,20,0.497512438,71.34375556,2.0
123,18PG,0,1,9.3028,3,10,36,1,1512.333333,0.599333333,-2.8,12,9.090909091,20,0.497512438,107.0156333,2.0
124,18PG,0,1,9.3028,3,10,36,1,108.3166667,0.307333333,-1.42,4,9.090909091,40,0.497512438,18.22177042,2.0
125,18PG,0,1,9.3028,3,10,36,1,153.9,0.435666667,-0.845333333,8,9.090909091,40,0.497512438,36.44354084,2.0
126,18PG,0,1,9.3028,3,10,36,1,120.1,0.400666667,-1.69,12,9.090909091,40,0.497512438,54.66531125,2.0
127,18PG,0,1,9.3028,3,10,36,1,166.4,0.504,-3.313333333,4,9.090909091,60,0.497512438,12.40506796,2.0
128,18PG,0,1,9.3028,3,10,36,1,192.9,0.356666667,-1.398,8,9.090909091,60,0.497512438,24.81013593,2.0
129,18PG,0,1,9.3028,3,10,36,1,260.3666667,0.331,-0.940666667,12,9.090909091,60,0.497512438,37.21520389,2.0
130,18PG,0,1,9.3028,3,10,36,1,230.6333333,0.313333333,8.696666667,4,9.090909091,80,0.497512438,9.496716736,2.0
131,18PG,0,1,9.3028,3,10,36,1,237.4,0.258666667,-0.939,8,9.090909091,80,0.497512438,18.99343347,2.0
132,18PG,0,1,9.3028,3,10,36,1,208.8333333,0.286,-0.976,12,9.090909091,80,0.497512438,28.49015021,2.0
133,18PG,0,1,9.3028,3,10,36,1,129.5333333,0.231666667,-1.733333333,4,9.090909091,20,0.99009901,35.85741011,2.0
134,18PG,0,1,9.3028,3,10,36,1,247.0333333,0.714,-1.54,8,9.090909091,20,0.99009901,71.71482022,2.197
135,18PG,0,1,9.3028,3,10,36,1,1955.333333,0.704333333,-1.195666667,12,9.090909091,20,0.99009901,107.5722303,2.526
136,18PG,0,1,9.3028,3,10,36,1,181.4666667,0.334,-1.7,4,9.090909091,40,0.99009901,18.32048629,2.0
137,18PG,0,1,9.3028,3,10,36,1,144.4,0.396,-0.988333333,8,9.090909091,40,0.99009901,36.64097258,2.0
138,18PG,0,1,9.3028,3,10,36,1,123.8,0.366333333,-2.643333333,12,9.090909091,40,0.99009901,54.96145887,2.0
139,18PG,0,1,9.3028,3,10,36,1,253.1333333,0.477333333,-0.603333333,4,9.090909091,60,0.99009901,12.47484502,2.0
140,18PG,0,1,9.3028,3,10,36,1,212.9666667,0.330666667,-0.511666667,8,9.090909091,60,0.99009901,24.94969004,2.0
141,18PG,0,1,9.3028,3,10,36,1,219.6333333,0.313,-1.116666667,12,9.090909091,60,0.99009901,37.42453505,2.0
142,18PG,0,1,9.3028,3,10,36,1,243.4333333,0.302666667,2.933333333,4,9.090909091,80,0.99009901,9.552024382,2.485
143,18PG,0,1,9.3028,3,10,36,1,226.2666667,0.251333333,0.520333333,8,9.090909091,80,0.99009901,19.10404876,2.0
144,18PG,0,1,9.3028,3,10,36,1,262.2333333,0.095333333,-2.67,12,9.090909091,80,0.99009901,28.65607315,2.0
145,18PG,0,1,9.3028,3,10,36,1,135.9333333,0.257333333,-1.596666667,4,9.090909091,20,1.960784314,36.22847476,2.0
146,18PG,0,1,9.3028,3,10,36,1,967.0333333,1.0,-1.566666667,8,9.090909091,20,1.960784314,72.45694953,2.0
147,18PG,0,1,9.3028,3,10,36,1,1599.666667,0.223666667,-2.373333333,12,9.090909091,20,1.960784314,108.6854243,2.0
148,18PG,0,1,9.3028,3,10,36,1,113.75,0.3625,-1.247666667,4,9.090909091,40,1.960784314,18.51791804,2.0
149,18PG,0,1,9.3028,3,10,36,1,142.2666667,0.315,-1.014,8,9.090909091,40,1.960784314,37.03583607,2.0
150,18PG,0,1,9.3028,3,10,36,1,142.3333333,0.393333333,-3.99,12,9.090909091,40,1.960784314,55.55375411,2.0
151,18PG,0,1,9.3028,3,10,36,1,256.9666667,0.289333333,-10.79333333,4,9.090909091,60,1.960784314,12.61439913,2.0
152,18PG,0,1,9.3028,3,10,36,1,205.9333333,0.315,-1.503333333,8,9.090909091,60,1.960784314,25.22879825,2.0
153,18PG,0,1,9.3028,3,10,36,1,184.7,0.339666667,-1.180333333,12,9.090909091,60,1.960784314,37.84319738,2.0
