,P_charged_centers,N_charged_centers,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_B16
390,1.0,0.0,2.0,4.0,50.0,60.0,500.0,0.09555531287539587
391,1.0,0.0,2.0,8.0,50.0,60.0,500.0,0.3750136507589822
392,1.0,0.0,2.0,12.0,50.0,60.0,500.0,0.15321611881620617
393,1.0,0.0,2.0,4.0,50.0,80.0,500.0,0.42229987987332096
394,1.0,0.0,2.0,8.0,50.0,80.0,500.0,0.45091187070001093
396,1.0,0.0,2.0,4.0,10.0,20.0,500.0,0.6007426012886317
397,1.0,0.0,2.0,8.0,10.0,20.0,500.0,0.32226711805176367
399,1.0,0.0,2.0,4.0,10.0,40.0,500.0,0.554766845036584
400,1.0,0.0,2.0,8.0,10.0,40.0,500.0,0.08277820246805723
401,1.0,0.0,2.0,12.0,10.0,40.0,500.0,0.006989188598886115
402,1.0,0.0,2.0,4.0,10.0,60.0,500.0,0.07196680135415529
403,1.0,0.0,2.0,8.0,10.0,60.0,500.0,0.2578355356557825
404,1.0,0.0,2.0,12.0,10.0,60.0,500.0,0.09861308288740855
405,1.0,0.0,2.0,4.0,10.0,80.0,500.0,0.2866659386261876
406,1.0,0.0,2.0,8.0,10.0,80.0,500.0,0.24385715845801026
408,1.0,0.0,2.0,4.0,1.0,20.0,500.0,0.4871682865567326
409,1.0,0.0,2.0,8.0,1.0,20.0,500.0,0.27498088893742495
410,1.0,0.0,2.0,12.0,1.0,20.0,500.0,0.25707109315277926
411,1.0,0.0,2.0,4.0,1.0,40.0,500.0,0.2134978704815988
412,1.0,0.0,2.0,8.0,1.0,40.0,500.0,0.18281096428961452
414,1.0,0.0,2.0,4.0,1.0,60.0,500.0,0.25914600851807357
415,1.0,0.0,2.0,8.0,1.0,60.0,500.0,0.013650758982199418
416,1.0,0.0,2.0,12.0,1.0,60.0,500.0,0.10756798077973134
417,1.0,0.0,2.0,4.0,1.0,80.0,500.0,0.08605438462378506
418,1.0,0.0,2.0,8.0,1.0,80.0,500.0,0.0
420,1.0,0.0,2.0,4.0,200.0,20.0,100.0,0.019875505078082334
421,1.0,0.0,2.0,8.0,200.0,20.0,100.0,0.27902151359615596
422,1.0,0.0,2.0,12.0,200.0,20.0,100.0,0.20159440864912093
423,1.0,0.0,2.0,4.0,200.0,40.0,100.0,0.2270394233919406
425,1.0,0.0,2.0,12.0,200.0,40.0,100.0,0.10756798077973134
426,1.0,0.0,2.0,4.0,200.0,60.0,100.0,0.05580430271923115
427,1.0,0.0,2.0,8.0,200.0,60.0,100.0,0.06814458883913943
428,1.0,0.0,2.0,12.0,200.0,60.0,100.0,0.06006333952167736
429,1.0,0.0,2.0,4.0,200.0,80.0,100.0,0.10756798077973134
430,1.0,0.0,2.0,8.0,200.0,80.0,100.0,0.05580430271923115
431,1.0,0.0,2.0,12.0,200.0,80.0,100.0,0.2695205853445451
433,1.0,0.0,2.0,8.0,100.0,20.0,100.0,0.21251501583488042
434,1.0,0.0,2.0,12.0,100.0,20.0,100.0,0.04182592552145897
435,1.0,0.0,2.0,4.0,100.0,40.0,100.0,0.2492082559790324
436,1.0,0.0,2.0,8.0,100.0,40.0,100.0,0.3646390739325107
437,1.0,0.0,2.0,12.0,100.0,40.0,100.0,0.04182592552145897
438,1.0,0.0,2.0,4.0,100.0,60.0,100.0,0.10756798077973134
439,1.0,0.0,2.0,8.0,100.0,60.0,100.0,0.17276400567871575
440,1.0,0.0,2.0,12.0,100.0,60.0,100.0,0.0
441,1.0,0.0,2.0,4.0,100.0,80.0,100.0,0.10756798077973134
442,1.0,0.0,2.0,8.0,100.0,80.0,100.0,0.1042917986240035
443,1.0,0.0,2.0,12.0,100.0,80.0,100.0,0.37752539041170696
445,1.0,0.0,2.0,8.0,50.0,20.0,100.0,0.28819482363219395
447,1.0,0.0,2.0,4.0,50.0,40.0,100.0,0.3009719340395326
448,1.0,0.0,2.0,8.0,50.0,40.0,100.0,0.31025445014742814
450,1.0,0.0,2.0,4.0,50.0,60.0,100.0,0.1855411160860544
451,1.0,0.0,2.0,8.0,50.0,60.0,100.0,0.2306432237632412
452,1.0,0.0,2.0,12.0,50.0,60.0,100.0,0.31800808124931745
453,1.0,0.0,2.0,4.0,50.0,80.0,100.0,0.2695205853445451
454,1.0,0.0,2.0,8.0,50.0,80.0,100.0,0.2492082559790324
455,1.0,0.0,2.0,12.0,50.0,80.0,100.0,0.10756798077973134
