Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_HepG2
77,18PG,0,1,9.3028,3,10,36,1,170.9666667,0.641666667,-1.497333333,8,0.99009901,40,0.99009901,3.114
78,18PG,0,1,9.3028,3,10,36,1,215.6333333,0.624,-4.113333333,12,0.99009901,40,0.99009901,3.114
79,18PG,0,1,9.3028,3,10,36,1,182.2,0.565,-3.46,4,0.99009901,60,0.99009901,2.708
80,18PG,0,1,9.3028,3,10,36,1,207.7333333,0.412333333,-5.52,8,0.99009901,60,0.99009901,2.639
81,18PG,0,1,9.3028,3,10,36,1,348.7,0.722666667,-2.886666667,12,0.99009901,60,0.99009901,3.45
82,18PG,0,1,9.3028,3,10,36,1,379.2666667,0.080666667,-2.153333333,4,0.99009901,80,0.99009901,1.609
83,18PG,0,1,9.3028,3,10,36,1,430.7333333,0.114666667,-1.356666667,8,0.99009901,80,0.99009901,1.872
84,18PG,0,1,9.3028,3,10,36,1,255.0166667,0.3485,0.867666667,12,0.99009901,80,0.99009901,2.996
85,18PG,0,1,9.3028,3,10,36,1,738.2666667,0.887666667,-1.916666667,4,0.99009901,20,1.960784314,1.705
86,18PG,0,1,9.3028,3,10,36,1,190.2,0.453,-0.810333333,8,0.99009901,20,1.960784314,1.946
87,18PG,0,1,9.3028,3,10,36,1,210.8,0.686333333,-2.876666667,12,0.99009901,20,1.960784314,1.5
88,18PG,0,1,9.3028,3,10,36,1,263.4666667,0.627666667,-2.14,4,0.99009901,40,1.960784314,1.946
89,18PG,0,1,9.3028,3,10,36,1,162.0,0.536333333,-0.342,8,0.99009901,40,1.960784314,1.705
90,18PG,0,1,9.3028,3,10,36,1,203.3333333,0.343333333,-2.2,12,0.99009901,40,1.960784314,1.705
91,18PG,0,1,9.3028,3,10,36,1,194.0,0.484333333,-3.503333333,4,0.99009901,60,1.960784314,3.512
92,18PG,0,1,9.3028,3,10,36,1,235.7333333,0.341333333,-2.013333333,8,0.99009901,60,1.960784314,2.398
93,18PG,0,1,9.3028,3,10,36,1,183.1666667,0.295666667,-3.336666667,12,0.99009901,60,1.960784314,2.079
94,18PG,0,1,9.3028,3,10,36,1,264.4666667,0.139,-6.496666667,4,0.99009901,80,1.960784314,3.541
95,18PG,0,1,9.3028,3,10,36,1,410.2,0.146666667,0.9383,8,0.99009901,80,1.960784314,2.079
96,18PG,0,1,9.3028,3,10,36,1,363.8,0.148333333,0.4627,12,0.99009901,80,1.960784314,1.946
97,18PG,0,1,9.3028,3,10,36,1,457.7666667,0.88,-20.96666667,4,0.99009901,20,9.090909091,2.351
98,18PG,0,1,9.3028,3,10,36,1,170.4666667,0.436333333,-1.013333333,8,0.99009901,20,9.090909091,1.792
99,18PG,0,1,9.3028,3,10,36,1,205.1333333,0.81,-0.812553333,12,0.99009901,20,9.090909091,2.015
100,18PG,0,1,9.3028,3,10,36,1,153.8666667,0.343666667,-1.636666667,4,0.99009901,40,9.090909091,2.351
101,18PG,0,1,9.3028,3,10,36,1,202.0333333,0.364666667,-0.022666667,8,0.99009901,40,9.090909091,2.251
102,18PG,0,1,9.3028,3,10,36,1,192.2666667,0.267,-3.43,12,0.99009901,40,9.090909091,3.784
103,18PG,0,1,9.3028,3,10,36,1,176.8,0.353333333,-13.4,4,0.99009901,60,9.090909091,2.442
104,18PG,0,1,9.3028,3,10,36,1,293.4666667,0.390666667,-1.985333333,8,0.99009901,60,9.090909091,2.303
105,18PG,0,1,9.3028,3,10,36,1,281.8333333,0.217333333,-3.243333333,12,0.99009901,60,9.090909091,3.135
106,18PG,0,1,9.3028,3,10,36,1,496.8666667,0.153666667,-1.304,4,0.99009901,80,9.090909091,1.504
107,18PG,0,1,9.3028,3,10,36,1,526.7333333,0.369,-0.888,8,0.99009901,80,9.090909091,2.833
108,18PG,0,1,9.3028,3,10,36,1,501.1333333,0.277,-0.417666667,12,0.99009901,80,9.090909091,1.946
109,18PG,0,1,9.3028,3,10,36,1,237.7333333,0.221,-6.72,4,0.99009901,20,50.0,1.705
110,18PG,0,1,9.3028,3,10,36,1,154.0666667,0.200333333,-5.936666667,8,0.99009901,20,50.0,1.5
111,18PG,0,1,9.3028,3,10,36,1,185.1,0.109,-3.736666667,12,0.99009901,20,50.0,1.5
112,18PG,0,1,9.3028,3,10,36,1,196.1666667,0.203333333,-7.57,4,0.99009901,40,50.0,1.792
113,18PG,0,1,9.3028,3,10,36,1,298.0333333,0.1,-4.593333333,8,0.99009901,40,50.0,1.5
114,18PG,0,1,9.3028,3,10,36,1,189.2333333,0.111,-1.266666667,12,0.99009901,40,50.0,1.5
115,18PG,0,1,9.3028,3,10,36,1,241.5,0.106333333,-16.4,4,0.99009901,60,50.0,5.075
